tradeSize
tick
previousLastPrice
previousTimestamp
bid
bidSize
ask
askSize
previousClose
settlement
previousSettlement
openInterest
fiftyTwoWkHigh
fiftyTwoWkHighDate
fiftyTwoWkLow
fiftyTwoWkLowDate
avgVolume
sharesOutstanding
dividendRateAnnual
dividendYieldAnnual
exDividendDate
impliedVolatility
twentyDayAvgVol
month
year
expirationDate
lastTradingDay
twelveMnthPct
twelveMnthPctDate
preMarketPrice
preMarketNetChange
preMarketPercentChange
preMarketTimestamp
afterHoursPrice
afterHoursNetChange
afterHoursPercentChange
afterHoursTimestamp
averageWeeklyVolume
averageMonthlyVolume
averageQuarterlyVolume
exchangeMargin
oneMonthHigh
oneMonthHighDate
oneMonthLow
oneMonthLowDate
threeMonthHigh
threeMonthHighDate
threeMonthLow
threeMonthLowDate
sixMonthHigh
sixMonthHighDate
sixMonthLow
sixMonthLowDate
